Region,country,Site,Date,KPI Category,Frequency,Completion
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-09-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-10-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-10-01 00:00:00,Environment,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-10-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-10-01 00:00:00,Social,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-11-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-11-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-12-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-12-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-01-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-01-01 00:00:00,Environment,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-01-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-01-01 00:00:00,Social,quarter,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-02-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-02-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-03-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-03-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-04-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-04-01 00:00:00,Environment,quarter,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-04-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-04-01 00:00:00,Social,quarter,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-05-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-05-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-06-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-06-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-07-01 00:00:00,Environment,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-07-01 00:00:00,Environment,quarter,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-07-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-07-01 00:00:00,Social,quarter,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-08-01 00:00:00,Environment,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-08-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-09-01 00:00:00,Environment,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-09-01 00:00:00,Health & Safety,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-10-01 00:00:00,Environment,month,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2024-10-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-01-01 00:00:00,Environment,annual,Not Filled
NORAM,United States of America,Anaheim,2023-01-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-01-01 00:00:00,Environment,quarter,Filled
NORAM,United States of America,Anaheim,2023-01-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-01-01 00:00:00,Social,annual,Not Filled
NORAM,United States of America,Anaheim,2023-01-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Anaheim,2023-02-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-02-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-03-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-03-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-04-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-04-01 00:00:00,Environment,quarter,Filled
NORAM,United States of America,Anaheim,2023-04-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-04-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Anaheim,2023-05-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-05-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-06-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-06-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-07-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-07-01 00:00:00,Environment,quarter,Filled
NORAM,United States of America,Anaheim,2023-07-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-07-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Anaheim,2023-08-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-08-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-09-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-09-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-10-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-10-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Anaheim,2023-10-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-10-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Anaheim,2023-11-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-11-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2023-12-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2023-12-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-01-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-01-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Anaheim,2024-01-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-01-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Anaheim,2024-02-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-02-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-03-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-03-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-04-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-04-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Anaheim,2024-04-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-04-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Anaheim,2024-05-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-05-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-06-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-06-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-07-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-07-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Anaheim,2024-07-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-07-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Anaheim,2024-08-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-08-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-09-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Anaheim,2024-09-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Anaheim,2024-10-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Anaheim,2024-10-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-01-01 00:00:00,Environment,annual,Not Filled
NORAM,United States of America,Bedford,2023-01-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-01-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bedford,2023-01-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-01-01 00:00:00,Social,annual,Not Filled
NORAM,United States of America,Bedford,2023-01-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bedford,2023-02-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-02-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-03-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-03-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-04-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-04-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bedford,2023-04-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-04-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bedford,2023-05-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-05-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-06-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-06-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-07-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-07-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bedford,2023-07-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-07-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bedford,2023-08-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-08-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-09-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-09-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-10-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-10-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bedford,2023-10-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-10-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bedford,2023-11-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-11-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2023-12-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2023-12-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-01-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-01-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bedford,2024-01-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-01-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bedford,2024-02-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-02-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-03-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-03-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-04-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-04-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bedford,2024-04-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-04-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bedford,2024-05-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-05-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-06-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-06-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-07-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-07-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bedford,2024-07-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-07-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bedford,2024-08-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-08-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-09-01 00:00:00,Environment,month,Filled
NORAM,United States of America,Bedford,2024-09-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bedford,2024-10-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bedford,2024-10-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-01-01 00:00:00,Environment,annual,Not Filled
NORAM,United States of America,Bloomington,2023-01-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-01-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bloomington,2023-01-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-01-01 00:00:00,Social,annual,Not Filled
NORAM,United States of America,Bloomington,2023-01-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bloomington,2023-02-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-02-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-03-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-03-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-04-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-04-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bloomington,2023-04-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-04-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bloomington,2023-05-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-05-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-06-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-06-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-07-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-07-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bloomington,2023-07-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-07-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bloomington,2023-08-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-08-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-09-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-09-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-10-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-10-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bloomington,2023-10-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-10-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bloomington,2023-11-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-11-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2023-12-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2023-12-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-01-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-01-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bloomington,2024-01-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-01-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bloomington,2024-02-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-02-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-03-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-03-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-04-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-04-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bloomington,2024-04-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-04-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bloomington,2024-05-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-05-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-06-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-06-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-07-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-07-01 00:00:00,Environment,quarter,Not Filled
NORAM,United States of America,Bloomington,2024-07-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-07-01 00:00:00,Social,quarter,Not Filled
NORAM,United States of America,Bloomington,2024-08-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-08-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-09-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-09-01 00:00:00,Health & Safety,month,Not Filled
NORAM,United States of America,Bloomington,2024-10-01 00:00:00,Environment,month,Not Filled
NORAM,United States of America,Bloomington,2024-10-01 00:00:00,Health & Safety,month,Not Filled
Europe,Germany,Bochum,2023-01-01 00:00:00,Environment,annual,Filled
Europe,Germany,Bochum,2023-01-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-01-01 00:00:00,Environment,quarter,Filled
Europe,Germany,Bochum,2023-01-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-01-01 00:00:00,Social,annual,Filled
Europe,Germany,Bochum,2023-01-01 00:00:00,Social,quarter,Filled
Europe,Germany,Bochum,2023-02-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-02-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-03-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-03-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-04-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-04-01 00:00:00,Environment,quarter,Filled
Europe,Germany,Bochum,2023-04-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-04-01 00:00:00,Social,quarter,Filled
Europe,Germany,Bochum,2023-05-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-05-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-06-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-06-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-07-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-07-01 00:00:00,Environment,quarter,Filled
Europe,Germany,Bochum,2023-07-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-07-01 00:00:00,Social,quarter,Filled
Europe,Germany,Bochum,2023-08-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-08-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-09-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-09-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-10-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-10-01 00:00:00,Environment,quarter,Filled
Europe,Germany,Bochum,2023-10-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-10-01 00:00:00,Social,quarter,Filled
Europe,Germany,Bochum,2023-11-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-11-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2023-12-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2023-12-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-01-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-01-01 00:00:00,Environment,quarter,Filled
Europe,Germany,Bochum,2024-01-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-01-01 00:00:00,Social,quarter,Filled
Europe,Germany,Bochum,2024-02-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-02-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-03-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-03-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-04-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-04-01 00:00:00,Environment,quarter,Filled
Europe,Germany,Bochum,2024-04-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-04-01 00:00:00,Social,quarter,Filled
Europe,Germany,Bochum,2024-05-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-05-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-06-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-06-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-07-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-07-01 00:00:00,Environment,quarter,Filled
Europe,Germany,Bochum,2024-07-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-07-01 00:00:00,Social,quarter,Filled
Europe,Germany,Bochum,2024-08-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-08-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-09-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-09-01 00:00:00,Health & Safety,month,Filled
Europe,Germany,Bochum,2024-10-01 00:00:00,Environment,month,Filled
Europe,Germany,Bochum,2024-10-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-01-01 00:00:00,Environment,annual,Filled
LATAM,Colombia,Bogota,2023-01-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-01-01 00:00:00,Environment,quarter,Filled
LATAM,Colombia,Bogota,2023-01-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-01-01 00:00:00,Social,annual,Filled
LATAM,Colombia,Bogota,2023-01-01 00:00:00,Social,quarter,Filled
LATAM,Colombia,Bogota,2023-02-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-02-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-03-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-03-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-04-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-04-01 00:00:00,Environment,quarter,Filled
LATAM,Colombia,Bogota,2023-04-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-04-01 00:00:00,Social,quarter,Filled
LATAM,Colombia,Bogota,2023-05-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-05-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-06-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-06-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-07-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-07-01 00:00:00,Environment,quarter,Filled
LATAM,Colombia,Bogota,2023-07-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-07-01 00:00:00,Social,quarter,Filled
LATAM,Colombia,Bogota,2023-08-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-08-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-09-01 00:00:00,Environment,month,Filled
LATAM,Colombia,Bogota,2023-09-01 00:00:00,Health & Safety,month,Filled
LATAM,Colombia,Bogota,2023-10-01 00:00:00,Environment,month,Filled
